rep,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
23,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,
22,,,,,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,,,,,,,,,,,,,,,,
21,,,,,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,100,100,100,100,100,,,,,,,,,,,
20,100,100,100,100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,96,96,96,96,96,100,100,100,100,100,,,,,,
19,96,96,96,96,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,93,93,93,93,93,96,96,96,96,96,100,100,100,100,100,
18,93,93,93,93,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,89,89,89,89,89,92,92,92,92,92,96,96,96,96,96,100
17,89,89,89,89,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,85,85,85,85,85,88,88,88,88,88,92,92,92,92,92,96
16,85,85,85,85,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,81,81,81,81,81,84,84,84,84,84,88,88,88,88,88,92
15,81,81,81,81,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,78,78,78,78,78,80,80,80,80,80,84,84,84,84,84,88
14,78,78,78,78,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,74,74,74,74,74,76,76,76,76,76,80,80,80,80,80,84
13,74,74,74,74,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,70,70,70,70,70,72,72,72,72,72,76,76,76,76,76,80
12,70,70,70,70,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,66,66,66,66,66,68,68,68,68,68,72,72,72,72,72,76
11,66,66,66,66,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,63,63,63,63,63,64,64,64,64,64,68,68,68,68,68,72
10,63,63,63,63,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,59,59,59,59,59,60,60,60,60,60,64,64,64,64,64,68
9,59,59,59,59,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,55,55,55,55,55,56,56,56,56,56,60,60,60,60,60,64
8,55,55,55,55,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,52,52,52,52,52,56,56,56,56,56,60
7,51,51,51,51,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,52,52,52,52,52,56
6,48,48,48,48,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,48,48,48,48,48,52
5,44,44,44,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,44,44,44,48
4,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,44
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
